Hi.	嗨。
Run.	你用跑的。
Wait!	等等！
Hello!	你好。
I try.	让我来。
I won!	我赢了。
Oh no!	不会吧。
Cheers!	乾杯!
He ran.	他跑了。
Hop in.	跳进来。
I lost.	我迷失了。
I quit.	我退出。
I'm OK.	我沒事。
Listen.	听着。
No way!	不可能！
No way!	没门！
Really?	你确定？
Try it.	试试吧。
We try.	我们来试试。
Why me?	为什么是我？
Ask Tom.	去问汤姆。
Be calm.	冷静点。
Be fair.	公平点。
Be kind.	友善点。
Be nice.	和气点。
Call me.	联系我。
Call us.	联系我们。
Come in.	进来。
Get Tom.	找到汤姆。
Get out!	滾出去！
Go away!	走開！
Goodbye!	再见！
Hang on!	等一下！
He came.	他来了。
He runs.	他跑。
Help me.	帮我一下。
Hold on.	坚持。
Hug Tom.	抱抱汤姆！
I agree.	我同意。
I'm ill.	我生病了。
I'm old.	我老了。
It's OK.	没关系。
It's me.	是我。
Join us.	来加入我们吧。
Keep it.	留着吧。
Kiss me.	吻我。
Perfect!	完美！
See you.	再见！
Shut up!	閉嘴！
Skip it.	不管它。
Take it.	拿走吧。
Wake up!	醒醒！
Wash up.	去清洗一下。
We know.	我们知道。
Welcome.	欢迎。
Who won?	谁赢了？
Why not?	为什么不？
You run.	你跑。
Back off.	往后退点。
Be still.	静静的，别动。
Cuff him.	把他铐上。
Drive on.	往前开。
Get away!	走開！
Get down!	趴下！
Get lost!	滾！
Get real.	醒醒吧。
Grab Tom.	抓住汤姆。
Grab him.	抓住他。
Have fun.	玩得開心。
He tries.	他来试试。
Humor me.	你就随了我的意吧。
Hurry up.	趕快!
Hurry up.	快点！
I forgot.	我忘了。
I resign.	我放弃。
I'll pay.	我來付錢。
I'm busy.	我很忙。
I'm cold.	我冷。
I'm fine.	我很好。
I'm full.	我吃飽了。
I'm sick.	我生病了。
Leave me.	让我一个人呆会儿。
Let's go!	我們走吧!
Look out!	当心！
She runs.	她跑。
Stand up.	起立。
They won.	他们赢了。
Tom died.	汤姆去世了。
Tom quit.	汤姆不干了。
Tom swam.	汤姆游泳了。
Trust me.	相信我。
Try hard.	努力。
Try some.	试试吧。
Who died?	谁死了？
Birds fly.	鳥類飛行。
Call home!	打电话回家！
Catch him.	抓住他。
Come home.	回家吧。
Do it now.	現在就做。
Dogs bark.	狗会叫。
Don't cry.	别哭。
Excuse me.	对不起。
Feel this.	来感受一下这个。
Follow me.	请跟我来。
Follow us.	请跟着我们。
Good luck.	祝你好运。
Grab that.	抓住那个。
Grab this.	抓住这个。
Hands off.	手举起来。
He's a DJ.	他是一个 DJ 。
He's lazy.	他很懒。
Hold fire.	停火。
Hold this.	我住这个。
How awful!	太可怕了。
I am cold.	我冷。
I am okay.	我沒事。
I am sick.	我生病了。
I get you.	我了解你。
I hope so.	我希望如此。
I laughed.	我笑了。
I promise.	我向你保证。
I saw Tom.	我看見湯姆了。
I'll swim.	我要游泳。
I'm a man.	我是个男人。
I'm right.	我是對的。
I'm sorry.	我很抱歉。
I'm young.	我還年輕。
Is it far?	遠嗎？
It snowed.	下雪了。
It's 3:30.	3点半了。
It's cold.	天很冷。
It's free.	它是免費的。
It's late.	很晚了。
It's true.	這是真的。
Let me in.	让我进去。
Lie still.	躺着不动。
Look back!	回头看！
Move over.	腾一下地方。
Of course!	當然!
Of course.	當然。
Of course.	当然了。
Oh please!	噢拜托了！
Open fire!	开火！
Read this.	念这个。
See above.	参见上文。
She cried.	她哭了。
She tried.	她试过了。
She walks.	她在行走。
Sit tight.	耐心等着。
Slow down.	慢一點。
Stay calm.	保持冷靜。
Stay down!	趴着！
Stop that!	住手。
Take care!	照顾好自己。
Take care.	照顾好自己。
Tom swims.	Tom游泳。
Tom tried.	湯姆累了。
Tom waved.	汤姆挥手了。
Tom'll go.	湯姆要走。
Turn left.	向左转。
Wait here.	在这等着。
Well done!	做得好！
Who cares?	爱谁谁。
Wonderful!	很棒！
You idiot!	蠢货！
All aboard!	请上船！
Am I wrong?	我錯了嗎？
Birds sing.	鳥兒歌唱。
Can I help?	我可以幫忙嗎?
Come along.	快点。
Definitely!	必须的！
Don't move!	别动！
Don't move.	不要动。
Fill it up.	把它填滿。
Follow him.	跟著他走。
God exists.	上帝存在。
Good night.	晚安。
He gave in.	他让步了.
He is mean.	他很凶。
He is poor.	他很穷。
He is tall.	他高。
Hello, Tom.	你好，汤姆。
Hey, relax.	嘿，放松点。
How lovely!	多可爱啊！
Hurry home.	赶快回家。
I am a man.	我是个男人。
I am short.	我个头矮。
I can cook.	我会做饭。
I can swim.	我會游泳。
I eat here.	我在這裡吃。
I envy her.	我嫉妒她。
I envy him.	我羡慕他。
I hate you.	我恨你。
I know Tom.	我认识汤姆。
I know him.	我認識他。
I like tea.	我喜欢茶。
I like you.	我喜歡你。
I like you.	我喜欢你。
I love her.	我愛她。
I love you.	我爱您。
I miss him.	我想念他。
I miss you.	我想念你。
I need you.	我需要你。
I think so.	我想是這樣的。
I use this.	我使用这个。
I'll do it.	我會做的。
I'm a hero.	我是個英雄。
I'm humble.	我是谦虚的。
I'm single.	我单身。
I'm sleepy.	我困了。
I'm so fat.	我好胖哦。
Ignore Tom.	别理汤姆。
Is it love?	那是愛嗎？
It's great.	真是太好了。
It's night.	是晚上了。
Just relax.	放松点吧。
Keep quiet!	保持安静！
Let him in.	让他进来。
Let me die.	让我去死。
Let me see.	让我想一想。
Let's walk.	我们走走吧。
Look there.	看那里。
No comment.	禁止评论。
No problem!	没问题！
No problem.	没关系。
No problem.	没问题。
